,price,Address,area,Bedrooms,Bathrooms,Status,neworold,type_of_building,bhk
252,695.0,other,2200.0,3.0,4.0,Ready to Move,Resale,Flat,4
253,90.0,other,1050.0,2.0,2.0,Ready to Move,Resale,Flat,2
254,190.0,other,1350.0,3.0,3.0,Ready to Move,Resale,Flat,3
255,1300.0,other,2800.0,4.0,4.0,Ready to Move,Resale,Flat,6
256,225.0,other,1091.0,2.0,2.0,Ready to Move,Resale,Flat,2
257,225.0,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",1250.0,3.0,3.0,Ready to Move,Resale,Flat,2
258,195.0,other,702.0,2.0,2.0,Ready to Move,Resale,Flat,1
259,260.0,other,1100.0,2.0,2.0,Ready to Move,Resale,Flat,2
260,165.0,other,1120.0,2.0,2.0,Ready to Move,Resale,Flat,2
261,1150.0,other,2500.0,3.0,4.0,Ready to Move,Resale,Flat,5
262,240.0,other,1530.0,3.0,3.0,Ready to Move,Resale,Flat,3
263,700.0,other,2205.0,3.0,3.0,Ready to Move,Resale,Flat,4
264,475.0,other,2100.0,3.0,3.0,Ready to Move,Resale,Flat,4
265,240.0,other,1550.0,2.0,2.0,Ready to Move,Resale,Flat,3
266,950.0,other,2500.0,5.0,4.0,Ready to Move,Resale,Flat,5
267,330.0,other,1350.0,2.0,2.0,Ready to Move,Resale,Flat,3
268,350.0,other,1800.0,3.0,3.0,Ready to Move,Resale,Flat,4
269,299.00000000000006,other,1080.0,2.0,2.0,Ready to Move,Resale,Flat,2
270,195.0,other,1020.0,3.0,2.0,Ready to Move,Resale,Flat,2
271,170.0,other,800.0,2.0,2.0,Ready to Move,Resale,Flat,2
272,230.0,other,1050.0,2.0,2.0,Ready to Move,Resale,Flat,2
273,365.0,other,2000.0,4.0,4.0,Ready to Move,Resale,Flat,4
274,165.0,other,1050.0,2.0,2.0,Ready to Move,New Property,Flat,2
275,475.0,other,1300.0,2.0,2.0,Ready to Move,Resale,Flat,3
276,340.0,other,1370.0,3.0,3.0,Ready to Move,Resale,Flat,3
277,290.0,other,1500.0,4.0,4.0,Ready to Move,Resale,Flat,3
278,380.0,other,815.0,2.0,2.0,Ready to Move,Resale,Flat,2
279,150.0,other,960.0,2.0,2.0,Ready to Move,Resale,Flat,2
280,525.0,other,2300.0,3.0,3.0,Ready to Move,Resale,Flat,5
281,420.0,other,1250.0,3.0,3.0,Ready to Move,Resale,Flat,2
282,325.0,other,1715.0,2.0,2.0,Ready to Move,Resale,Flat,3
283,259.0,other,924.0,2.0,2.0,Ready to Move,New Property,Flat,2
284,205.0,other,1150.0,2.0,2.0,Ready to Move,New Property,Flat,2
285,175.0,other,1090.0,2.0,2.0,Ready to Move,Resale,Flat,2
286,135.0,other,712.0,2.0,2.0,Ready to Move,Resale,Flat,1
287,300.0,"Borivali East, Mumbai - Western Suburbs, Maharashtra",1400.0,3.0,3.0,Ready to Move,Resale,Flat,3
288,255.0,other,951.0,2.0,2.0,Ready to Move,Resale,Bungalow,2
289,250.0,other,1030.0,3.0,2.0,Ready to Move,Resale,Bungalow,2
290,320.0,"Oshiwara, Mumbai - Western Suburbs, Maharashtra",1970.0,3.0,3.0,Under Construction,Resale,Flat,4
291,160.0,other,1650.0,4.0,3.0,Ready to Move,Resale,Flat,3
292,553.0,other,1803.0,3.0,3.0,Ready to Move,New Property,Flat,4
293,52.0,other,750.0,2.0,2.0,Ready to Move,Resale,Flat,1
294,165.0,other,1150.0,2.0,2.0,Ready to Move,Resale,Flat,2
295,316.0,other,1273.0,2.0,2.0,Ready to Move,New Property,Flat,3
296,335.0,other,1605.0,2.0,3.0,Ready to Move,Resale,Flat,3
297,50.0,other,800.0,2.0,2.0,Ready to Move,Resale,Flat,2
298,299.00000000000006,other,1315.0,3.0,3.0,Ready to Move,Resale,Flat,3
299,63.0,other,890.0,2.0,2.0,Ready to Move,New Property,Bungalow,2
300,160.0,other,1650.0,3.0,3.0,Ready to Move,Resale,Flat,3
301,210.0,other,1150.0,2.0,2.0,Ready to Move,Resale,Bungalow,2
302,420.0,other,950.0,2.0,2.0,Ready to Move,Resale,Flat,2
303,55.0,other,1100.0,2.0,2.0,Ready to Move,Resale,Flat,2
304,450.0,other,1350.0,3.0,3.0,Ready to Move,Resale,Flat,3
305,260.0,other,1250.0,3.0,2.0,Ready to Move,Resale,Flat,2
306,2300.0,other,2555.0,3.0,3.0,Ready to Move,Resale,Flat,5
307,163.99999999999997,other,885.0,2.0,2.0,Ready to Move,Resale,Flat,2
308,170.0,other,795.0,2.0,2.0,Ready to Move,Resale,Flat,2
309,150.0,other,1017.0,2.0,2.0,Ready to Move,Resale,Flat,2
310,260.0,other,1090.0,2.0,2.0,Ready to Move,Resale,Flat,2
311,390.0,"Worli, Mumbai, Worli, Mumbai - South Mumbai, Maharashtra",1350.0,2.0,2.0,Ready to Move,Resale,Flat,3
312,145.0,other,850.0,2.0,2.0,Ready to Move,Resale,Flat,2
313,150.0,other,634.0,2.0,2.0,Ready to Move,Resale,Flat,1
314,145.0,other,811.0,2.0,2.0,Ready to Move,Resale,Flat,2
315,345.0,other,1400.0,3.0,3.0,Ready to Move,New Property,Flat,3
316,385.0,other,1112.0,2.0,2.0,Ready to Move,Resale,Flat,2
317,43.0,other,795.0,2.0,2.0,Ready to Move,Resale,Flat,2
318,230.0,other,1200.0,3.0,3.0,Ready to Move,Resale,Flat,2
319,625.0,other,1600.0,4.0,5.0,Ready to Move,Resale,Flat,3
320,200.0,other,750.0,2.0,2.0,Ready to Move,Resale,Flat,1
321,145.0,other,925.0,2.0,2.0,Ready to Move,Resale,Flat,2
322,110.0,other,920.0,2.0,2.0,Ready to Move,Resale,Flat,2
323,260.0,"Malad East, Mumbai - North Mumbai, Maharashtra",850.0,2.0,2.0,Ready to Move,Resale,Flat,2
324,200.0,other,900.0,2.0,2.0,Ready to Move,Resale,Flat,2
325,295.0,other,1200.0,3.0,2.0,Ready to Move,Resale,Flat,2
326,235.0,other,1155.0,2.0,2.0,Ready to Move,Resale,Flat,2
327,375.0,other,1180.0,2.0,3.0,Ready to Move,Resale,Flat,2
328,195.0,other,820.0,2.0,2.0,Ready to Move,Resale,Flat,2
329,160.0,other,890.0,2.0,2.0,Ready to Move,Resale,Flat,2
330,275.0,other,1250.0,3.0,2.0,Ready to Move,Resale,Flat,2
331,465.0,other,1580.0,3.0,4.0,Ready to Move,Resale,Flat,3
